ticket_id,customer_id,agent_id,created_at,first_response_at,resolved_at,channel,category,priority,ai_assisted,escalated,status,csat_score
1054,32,3,2026-05-10 15:17:00,2026-05-10 15:25:00,2026-05-11 00:07:00,Phone,Delayed Flight,Normal,0,0,Resolved,3
1055,100,2,2026-04-16 19:45:00,2026-04-16 20:16:00,2026-04-17 00:28:00,Chat,Order Change,High,1,1,Resolved,3
1056,104,4,2026-02-04 17:11:00,2026-02-04 17:34:00,2026-02-04 18:13:00,Chat,Package Recommendation,High,0,0,Resolved,5
1057,41,1,2026-01-10 19:14:00,2026-01-10 19:15:00,2026-01-10 22:20:00,Phone,Account Access,Normal,0,0,Resolved,
1058,111,1,2026-05-21 17:17:00,2026-05-21 17:26:00,2026-05-22 00:10:00,Email,Travel Agent Support,Normal,1,0,Resolved,4
1059,121,1,2026-04-12 10:50:00,2026-04-12 13:13:00,2026-04-12 14:49:00,Email,Travel Agent Support,Normal,0,0,Resolved,
1060,61,2,2026-06-17 17:15:00,2026-06-17 17:46:00,2026-06-17 19:07:00,Email,Account Access,Normal,0,0,Resolved,5
1061,34,1,2026-01-24 13:28:00,2026-01-24 14:20:00,2026-01-24 18:09:00,Email,Travel Agent Support,Low,0,0,Resolved,4
1062,29,4,2026-05-08 15:40:00,2026-05-08 16:01:00,2026-05-08 20:15:00,Web Form,Travel Agent Support,High,1,0,Resolved,
1063,82,3,2026-02-24 18:46:00,2026-02-24 19:12:00,2026-02-24 21:56:00,Chat,Account Access,Low,0,0,Resolved,5
1064,149,5,2026-01-04 17:51:00,2026-01-04 17:59:00,,Phone,Delayed Flight,Normal,0,1,Open,
1065,120,3,2026-04-11 14:02:00,2026-04-11 14:35:00,2026-04-11 20:53:00,Chat,Cancellation,Normal,1,0,Resolved,5
1066,78,3,2026-05-26 09:50:00,2026-05-26 12:45:00,2026-05-26 13:07:00,Web Form,Cancellation,Normal,0,0,Resolved,
1067,26,2,2026-05-27 10:57:00,2026-05-27 11:07:00,2026-05-27 17:20:00,Email,Cancellation,Low,1,0,Resolved,4
1068,44,2,2026-05-13 12:25:00,2026-05-13 12:48:00,,Chat,Package Recommendation,Normal,1,0,Open,
1069,22,2,2026-03-24 15:34:00,2026-03-24 16:09:00,2026-03-24 19:23:00,Chat,Travel Agent Support,Normal,1,0,Resolved,5
1070,15,3,2026-06-25 14:34:00,2026-06-25 14:40:00,2026-06-25 17:22:00,Email,Package Recommendation,Normal,1,0,Resolved,5
1071,113,2,2026-03-15 14:09:00,2026-03-15 14:22:00,2026-03-15 15:58:00,Web Form,Account Access,Normal,1,0,Resolved,
1072,18,1,2026-03-08 08:42:00,2026-03-08 08:48:00,2026-03-08 10:28:00,Chat,Account Access,Normal,1,0,Resolved,5
1073,170,5,2026-01-08 15:10:00,2026-01-08 15:13:00,2026-01-08 21:12:00,Phone,Order Change,High,0,1,Resolved,2
1074,19,2,2026-06-24 08:54:00,2026-06-24 09:18:00,2026-06-24 15:13:00,Email,Delayed Flight,Normal,1,0,Resolved,4
1075,167,1,2026-01-25 15:00:00,2026-01-25 15:22:00,2026-01-25 16:23:00,Web Form,Payment Question,Normal,1,0,Resolved,
1076,52,1,2026-03-20 16:27:00,2026-03-20 19:26:00,2026-03-20 22:22:00,Web Form,Cancellation,Normal,0,0,Resolved,4
1077,43,3,2026-01-17 10:12:00,2026-01-17 10:26:00,2026-01-17 11:08:00,Chat,Account Access,Normal,1,0,Resolved,5
1078,7,1,2026-02-26 13:32:00,2026-02-26 16:23:00,2026-02-27 00:45:00,Email,Order Change,Low,0,1,Resolved,1
1079,66,1,2026-04-11 16:30:00,2026-04-11 16:34:00,2026-04-11 18:10:00,Phone,Package Recommendation,Normal,0,0,Resolved,5
1080,112,1,2026-02-18 18:18:00,2026-02-18 18:41:00,2026-02-18 20:06:00,Chat,Order Change,Low,1,0,Resolved,5
1081,122,4,2026-06-13 18:07:00,2026-06-13 18:25:00,2026-06-14 01:50:00,Web Form,Order Change,Normal,1,1,Resolved,4
1082,53,5,2026-02-19 19:14:00,2026-02-19 19:16:00,2026-02-20 08:27:00,Phone,Travel Agent Support,Normal,0,1,Resolved,
1083,98,3,2026-02-10 15:40:00,2026-02-10 15:49:00,2026-02-10 17:17:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1084,156,5,2026-04-03 18:24:00,2026-04-03 20:15:00,2026-04-04 09:06:00,Chat,Travel Agent Support,Normal,0,1,Resolved,2
1085,14,3,2026-01-19 11:05:00,2026-01-19 11:32:00,2026-01-19 12:50:00,Email,Account Access,Normal,1,0,Resolved,5
1086,66,3,2026-02-12 11:52:00,2026-02-12 12:34:00,2026-02-12 15:34:00,Chat,Delayed Flight,High,0,0,Resolved,5
1087,97,5,2026-01-23 12:24:00,2026-01-23 12:33:00,2026-01-23 22:06:00,Email,Travel Agent Support,Normal,1,1,Resolved,2
1088,107,2,2026-06-19 11:20:00,2026-06-19 13:55:00,2026-06-19 15:27:00,Chat,Order Change,Normal,0,0,Resolved,4
1089,54,1,2026-04-20 08:31:00,2026-04-20 09:02:00,2026-04-20 10:57:00,Chat,Account Access,Low,1,0,Resolved,5
1090,109,2,2026-04-02 19:25:00,2026-04-02 19:46:00,2026-04-03 00:03:00,Chat,Order Change,Low,0,0,Resolved,3
1091,133,3,2026-02-23 13:43:00,2026-02-23 14:41:00,2026-02-24 01:55:00,Chat,Delayed Flight,Normal,0,0,Resolved,
1092,54,2,2026-06-07 18:30:00,2026-06-07 21:23:00,,Chat,Order Change,Normal,0,0,Open,
1093,28,2,2026-04-19 13:10:00,2026-04-19 15:27:00,2026-04-19 15:10:00,Web Form,Account Access,Normal,0,0,Resolved,5
1094,134,3,2026-06-27 13:07:00,2026-06-27 13:11:00,2026-06-27 17:06:00,Phone,Package Recommendation,Low,0,0,Resolved,5
1095,78,2,2026-06-13 10:02:00,2026-06-13 10:15:00,2026-06-13 14:28:00,Chat,Cancellation,High,1,0,Resolved,5
1096,179,5,2026-05-26 12:36:00,2026-05-26 13:05:00,2026-05-26 16:48:00,Web Form,Travel Agent Support,Normal,1,1,Resolved,3
1097,39,5,2026-02-07 13:38:00,2026-02-07 15:10:00,2026-02-07 22:19:00,Email,Cancellation,Normal,0,1,Resolved,3
1098,139,3,2026-03-18 19:19:00,2026-03-18 19:28:00,2026-03-18 21:39:00,Chat,Cancellation,Low,1,0,Resolved,5
1099,79,3,2026-03-11 17:14:00,2026-03-11 17:16:00,2026-03-11 19:10:00,Web Form,Cancellation,Normal,1,0,Resolved,4
1100,128,4,2026-01-10 12:28:00,2026-01-10 12:45:00,2026-01-10 15:19:00,Email,Payment Question,High,1,0,Resolved,5
1101,99,1,2026-02-18 09:55:00,2026-02-18 10:48:00,2026-02-18 14:57:00,Email,Order Change,Normal,0,0,Resolved,5
1102,2,4,2026-01-28 15:45:00,2026-01-28 15:46:00,2026-01-28 19:29:00,Phone,Order Change,Normal,0,0,Resolved,5
1103,168,2,2026-02-01 13:37:00,2026-02-01 13:58:00,,Web Form,Account Access,Normal,1,0,Open,
1104,8,4,2026-03-27 17:25:00,2026-03-27 20:02:00,2026-03-28 04:50:00,Web Form,Delayed Flight,Low,0,0,Resolved,
1105,53,4,2026-02-23 08:40:00,2026-02-23 09:12:00,2026-02-23 16:06:00,Chat,Cancellation,Normal,1,0,Resolved,4
1106,74,4,2026-02-22 15:49:00,2026-02-22 15:53:00,2026-02-22 19:08:00,Phone,Package Recommendation,Low,0,0,Resolved,5
1107,3,1,2026-03-19 11:55:00,2026-03-19 12:28:00,2026-03-19 18:37:00,Chat,Cancellation,Normal,1,0,Resolved,3
1108,9,4,2026-06-20 19:03:00,2026-06-20 19:36:00,,Web Form,Cancellation,Normal,1,1,Open,
1109,119,5,2026-01-08 17:04:00,2026-01-08 17:41:00,2026-01-09 05:44:00,Email,Travel Agent Support,Normal,0,1,Resolved,3
1110,145,4,2026-02-26 16:36:00,2026-02-26 16:53:00,2026-02-26 21:09:00,Web Form,Cancellation,Normal,1,0,Resolved,4
1111,101,1,2026-04-18 13:54:00,2026-04-18 14:16:00,2026-04-18 19:56:00,Chat,Delayed Flight,Normal,0,0,Resolved,4
1112,18,4,2026-04-27 13:21:00,2026-04-27 16:25:00,2026-04-27 15:45:00,Email,Package Recommendation,Low,0,0,Resolved,4
1113,171,1,2026-01-30 09:37:00,2026-01-30 10:06:00,2026-01-30 15:00:00,Web Form,Cancellation,Low,1,0,Resolved,4
1114,24,4,2026-03-27 16:50:00,2026-03-27 17:25:00,2026-03-27 18:43:00,Chat,Account Access,High,1,0,Resolved,5
1115,41,2,2026-06-17 15:19:00,2026-06-17 17:24:00,2026-06-17 22:01:00,Chat,Travel Agent Support,High,0,1,Resolved,
1116,121,1,2026-02-22 17:08:00,2026-02-22 17:09:00,2026-02-22 18:13:00,Phone,Account Access,Normal,0,0,Resolved,
1117,137,4,2026-05-01 15:35:00,2026-05-01 16:03:00,2026-05-02 00:18:00,Email,Order Change,Normal,1,1,Resolved,4
1118,76,3,2026-05-06 09:15:00,2026-05-06 09:37:00,2026-05-06 10:15:00,Email,Account Access,Normal,1,0,Resolved,5
1119,72,2,2026-05-03 13:15:00,2026-05-03 13:46:00,2026-05-03 16:35:00,Email,Travel Agent Support,Normal,1,0,Resolved,5
1120,110,3,2026-05-23 13:17:00,2026-05-23 13:22:00,2026-05-23 16:04:00,Email,Package Recommendation,Low,1,0,Resolved,5
1121,110,3,2026-01-29 12:21:00,2026-01-29 12:30:00,2026-01-29 18:08:00,Email,Travel Agent Support,Low,1,0,Resolved,
1122,70,1,2026-05-13 13:33:00,2026-05-13 13:35:00,2026-05-13 15:20:00,Web Form,Account Access,Normal,1,0,Resolved,4
1123,103,1,2026-04-06 15:53:00,2026-04-06 16:05:00,2026-04-06 20:38:00,Email,Order Change,Normal,1,1,Resolved,2
1124,14,4,2026-06-24 17:33:00,2026-06-24 17:43:00,2026-06-24 22:13:00,Web Form,Travel Agent Support,Low,1,0,Resolved,
1125,107,3,2026-01-08 09:28:00,2026-01-08 10:07:00,2026-01-08 13:24:00,Chat,Payment Question,Low,0,0,Resolved,
1126,23,4,2026-05-01 10:28:00,2026-05-01 10:30:00,2026-05-01 19:47:00,Phone,Travel Agent Support,Normal,0,0,Resolved,
1127,51,3,2026-05-18 10:28:00,2026-05-18 10:46:00,2026-05-18 11:45:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1128,54,3,2026-03-25 16:59:00,2026-03-25 18:56:00,2026-03-25 23:43:00,Email,Delayed Flight,High,0,0,Resolved,4
1129,126,4,2026-03-14 15:09:00,2026-03-14 16:49:00,2026-03-15 01:19:00,Email,Delayed Flight,Normal,0,0,Resolved,
1130,85,2,2026-05-27 15:48:00,2026-05-27 16:22:00,2026-05-27 18:02:00,Chat,Account Access,Normal,1,0,Resolved,5
1131,115,4,2026-06-26 11:58:00,2026-06-26 12:15:00,2026-06-26 14:15:00,Chat,Account Access,Normal,1,0,Resolved,
1132,115,4,2026-04-03 10:52:00,2026-04-03 11:06:00,2026-04-03 14:52:00,Email,Order Change,Normal,1,0,Resolved,5
1133,143,2,2026-03-30 17:08:00,2026-03-30 17:47:00,2026-03-31 02:05:00,Chat,Cancellation,Normal,0,0,Resolved,
1134,99,3,2026-01-06 18:15:00,2026-01-06 18:57:00,2026-01-06 23:14:00,Email,Cancellation,High,0,0,Resolved,
1135,65,3,2026-02-20 08:50:00,2026-02-20 09:24:00,2026-02-20 10:26:00,Web Form,Order Change,Normal,1,0,Resolved,5
1136,91,1,2026-02-24 08:38:00,2026-02-24 09:12:00,2026-02-24 12:58:00,Web Form,Payment Question,Normal,1,0,Resolved,
1137,133,4,2026-03-16 17:30:00,2026-03-16 17:37:00,2026-03-16 21:36:00,Email,Delayed Flight,High,1,0,Resolved,4
1138,134,1,2026-01-14 19:06:00,2026-01-14 19:36:00,2026-01-15 00:45:00,Email,Cancellation,Normal,1,0,Resolved,4
1139,70,2,2026-02-08 12:22:00,2026-02-08 12:28:00,2026-02-08 13:13:00,Email,Account Access,High,1,0,Resolved,
1140,37,2,2026-02-21 14:19:00,2026-02-21 15:44:00,2026-02-21 19:30:00,Web Form,Order Change,Normal,0,0,Resolved,4
1141,14,1,2026-03-29 16:54:00,2026-03-29 17:13:00,2026-03-29 19:21:00,Email,Travel Agent Support,High,1,0,Resolved,4
1142,66,2,2026-05-18 12:09:00,2026-05-18 12:45:00,2026-05-18 16:01:00,Chat,Order Change,High,0,0,Resolved,4
1143,8,3,2026-02-16 08:01:00,2026-02-16 08:06:00,2026-02-16 11:22:00,Email,Order Change,Normal,1,0,Resolved,5
1144,37,4,2026-03-04 17:29:00,2026-03-04 17:58:00,2026-03-04 20:16:00,Chat,Payment Question,Normal,1,0,Resolved,5
1145,76,1,2026-01-24 18:05:00,2026-01-24 18:25:00,2026-01-24 20:03:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1146,156,3,2026-01-13 17:16:00,2026-01-13 17:55:00,2026-01-13 19:22:00,Chat,Payment Question,Normal,0,0,Resolved,
1147,10,1,2026-04-03 19:50:00,2026-04-03 20:18:00,2026-04-04 01:46:00,Email,Cancellation,Low,1,0,Resolved,3
1148,70,2,2026-04-27 16:45:00,2026-04-27 16:57:00,2026-04-27 18:35:00,Web Form,Order Change,Normal,1,0,Resolved,5
1149,34,4,2026-04-28 08:56:00,2026-04-28 09:10:00,2026-04-28 10:42:00,Chat,Account Access,Normal,1,0,Resolved,5
1150,125,2,2026-06-29 10:34:00,2026-06-29 10:43:00,2026-06-29 18:12:00,Chat,Delayed Flight,Low,1,0,Resolved,3
1151,16,1,2026-04-02 11:25:00,2026-04-02 12:00:00,2026-04-02 14:30:00,Email,Order Change,Low,1,0,Resolved,5
1152,52,4,2026-01-22 08:12:00,2026-01-22 08:17:00,2026-01-22 10:39:00,Chat,Order Change,Normal,1,0,Resolved,
1153,31,1,2026-02-20 15:34:00,2026-02-20 18:21:00,2026-02-20 20:08:00,Chat,Cancellation,High,0,0,Resolved,3
1154,14,5,2026-06-03 17:38:00,2026-06-03 18:57:00,2026-06-04 13:35:00,Chat,Delayed Flight,Normal,0,1,Resolved,2
1155,134,4,2026-04-21 12:02:00,2026-04-21 12:16:00,2026-04-21 14:40:00,Web Form,Payment Question,High,1,0,Resolved,5
1156,159,2,2026-01-18 14:54:00,2026-01-18 16:54:00,2026-01-18 18:34:00,Email,Payment Question,Normal,0,0,Resolved,5
1157,125,2,2026-04-07 13:43:00,2026-04-07 13:51:00,2026-04-07 18:49:00,Phone,Payment Question,Normal,0,0,Resolved,4
1158,114,1,2026-06-16 16:01:00,2026-06-16 16:30:00,2026-06-16 22:49:00,Email,Cancellation,High,1,1,Resolved,
1159,41,1,2026-03-12 12:08:00,2026-03-12 14:20:00,2026-03-12 17:31:00,Email,Travel Agent Support,High,0,0,Resolved,4
1160,88,2,2026-01-13 12:54:00,2026-01-13 13:24:00,2026-01-13 17:15:00,Chat,Cancellation,High,1,0,Resolved,4
1161,70,1,2026-01-03 11:52:00,2026-01-03 12:35:00,2026-01-03 16:25:00,Web Form,Payment Question,Normal,0,0,Resolved,
1162,83,3,2026-04-14 15:46:00,2026-04-14 15:53:00,2026-04-14 18:31:00,Phone,Package Recommendation,High,0,0,Resolved,
1163,172,3,2026-04-15 08:42:00,2026-04-15 11:43:00,2026-04-16 00:22:00,Chat,Travel Agent Support,Low,0,1,Resolved,2
1164,90,4,2026-06-20 08:04:00,2026-06-20 10:07:00,2026-06-20 13:37:00,Email,Order Change,Low,0,0,Resolved,4
1165,157,1,2026-05-23 10:09:00,2026-05-23 10:17:00,2026-05-23 11:22:00,Email,Payment Question,Normal,1,0,Resolved,4
1166,23,3,2026-03-06 18:13:00,2026-03-06 18:34:00,2026-03-07 01:10:00,Chat,Travel Agent Support,Normal,0,0,Resolved,4
1167,155,2,2026-01-19 16:52:00,2026-01-19 19:37:00,2026-01-19 23:32:00,Web Form,Delayed Flight,Normal,0,0,Resolved,3
1168,114,2,2026-03-03 13:11:00,2026-03-03 16:21:00,2026-03-03 14:12:00,Chat,Account Access,Normal,0,0,Resolved,
1169,168,2,2026-03-13 14:22:00,2026-03-13 14:40:00,2026-03-13 18:16:00,Chat,Payment Question,Normal,1,0,Resolved,5
1170,101,3,2026-02-09 19:18:00,2026-02-09 19:20:00,2026-02-09 21:56:00,Web Form,Account Access,Normal,1,1,Resolved,4
1171,41,3,2026-05-10 15:41:00,2026-05-10 15:47:00,2026-05-10 18:56:00,Chat,Order Change,Normal,1,0,Resolved,5
1172,163,4,2026-06-27 18:49:00,2026-06-27 18:50:00,2026-06-28 02:11:00,Phone,Delayed Flight,Normal,0,0,Resolved,4
1173,172,4,2026-02-21 19:58:00,2026-02-21 20:28:00,2026-02-21 21:01:00,Email,Account Access,Normal,1,0,Resolved,5
1174,76,3,2026-05-23 18:05:00,2026-05-23 18:14:00,2026-05-23 21:02:00,Email,Package Recommendation,Low,1,0,Resolved,5
1175,66,3,2026-05-15 11:01:00,2026-05-15 11:09:00,2026-05-15 12:20:00,Email,Payment Question,Normal,1,0,Resolved,5
1176,110,4,2026-05-27 12:52:00,2026-05-27 14:22:00,2026-05-27 18:17:00,Email,Travel Agent Support,Normal,0,0,Resolved,4
1177,125,2,2026-06-29 14:44:00,2026-06-29 14:52:00,2026-06-29 16:44:00,Chat,Cancellation,High,1,0,Resolved,5
1178,77,1,2026-06-26 16:30:00,2026-06-26 16:59:00,2026-06-26 19:32:00,Chat,Travel Agent Support,Low,1,0,Resolved,5
1179,3,5,2026-04-30 09:04:00,2026-04-30 10:00:00,2026-04-30 16:31:00,Email,Travel Agent Support,Normal,0,1,Resolved,
1180,38,2,2026-05-30 10:42:00,2026-05-30 11:18:00,2026-05-30 22:01:00,Email,Travel Agent Support,Low,0,1,Resolved,2
1181,149,3,2026-01-06 16:44:00,2026-01-06 17:08:00,2026-01-06 17:56:00,Email,Payment Question,Normal,1,0,Resolved,
1182,134,3,2026-04-15 17:49:00,2026-04-15 17:53:00,2026-04-15 22:42:00,Phone,Order Change,Normal,0,0,Resolved,4
1183,141,4,2026-01-17 18:17:00,2026-01-17 18:47:00,2026-01-17 19:00:00,Email,Account Access,Normal,1,0,Resolved,5
1184,115,4,2026-01-27 17:45:00,2026-01-27 18:20:00,,Email,Package Recommendation,Normal,0,0,Open,
1185,46,5,2026-05-23 19:03:00,2026-05-23 19:08:00,2026-05-24 00:14:00,Chat,Order Change,Low,1,1,Resolved,2
1186,93,3,2026-06-11 16:15:00,2026-06-11 19:00:00,2026-06-12 05:55:00,Chat,Cancellation,Low,0,1,Resolved,1
1187,45,1,2026-06-14 08:04:00,2026-06-14 08:18:00,2026-06-14 09:53:00,Chat,Order Change,Normal,1,0,Resolved,
1188,46,3,2026-06-24 19:44:00,2026-06-24 20:07:00,2026-06-24 21:31:00,Chat,Account Access,Normal,1,0,Resolved,5
1189,64,2,2026-04-07 14:22:00,2026-04-07 14:26:00,2026-04-07 16:04:00,Chat,Package Recommendation,Low,1,0,Resolved,4
1190,125,3,2026-02-20 08:52:00,2026-02-20 09:03:00,2026-02-20 13:49:00,Chat,Order Change,Normal,1,0,Resolved,5
1191,43,2,2026-03-01 08:38:00,2026-03-01 08:46:00,2026-03-01 15:15:00,Phone,Travel Agent Support,Normal,0,0,Resolved,4
1192,45,1,2026-03-19 16:49:00,2026-03-19 17:00:00,2026-03-19 17:51:00,Chat,Package Recommendation,Normal,1,0,Resolved,5
1193,97,4,2026-02-23 12:04:00,2026-02-23 12:21:00,2026-02-23 16:18:00,Email,Travel Agent Support,Normal,1,0,Resolved,
1194,37,4,2026-06-30 15:51:00,2026-06-30 15:56:00,2026-06-30 23:54:00,Phone,Order Change,Normal,0,0,Resolved,5
1195,109,4,2026-02-22 19:03:00,2026-02-22 19:26:00,2026-02-22 20:49:00,Web Form,Package Recommendation,Low,1,0,Resolved,5
1196,105,1,2026-03-18 15:30:00,2026-03-18 15:42:00,2026-03-18 17:08:00,Chat,Package Recommendation,Normal,1,0,Resolved,
1197,63,4,2026-03-26 15:30:00,2026-03-26 17:52:00,2026-03-26 17:54:00,Chat,Account Access,Normal,0,0,Resolved,5
1198,153,2,2026-02-24 16:01:00,2026-02-24 16:33:00,2026-02-24 19:44:00,Web Form,Delayed Flight,Normal,1,0,Resolved,5
1199,118,1,2026-03-29 14:20:00,2026-03-29 14:43:00,2026-03-29 16:41:00,Email,Account Access,Normal,1,0,Resolved,5
